Common Name,Wingspan (cm),Release Date
Fairy,63.8,
Fantail,63.8,
Piprites,63.8,
Chlorospingus,63.9,
Plumeleteer,63.9,
Water-Tyrant,63.9,
Xenopsaris,63.9,
Hemispingus,64,
Serin,64,
Titmouse,64,
Bushbird,64.2,
Greenbul,64.2,
Antpipit,64.4,
Whydah,64.5,
Becard,64.6,
Honeybird,64.7,
Bunting,64.8,
Fernwren,64.8,
Monarch,64.9,
Nuthatch,65,
Oxylabes,65,
Plushcap,65,
Puffbird,65,
Hanging-Parrot,65.1,
Whitethroat,65.1,
Dove,65.2,
Gnateater,65.2,
Masked-Weaver,65.2,
Scrub-Flycatcher,65.2,
Hillstar,65.4,
Akalat,65.5,
Social-Weaver,65.5,
Softtail,65.5,
Cut-throat,65.8,
Rail,65.8,
Earthcreeper,65.9,
Rockwarbler,65.9,
Buttonquail,66,
Black-Tyrant,66.2,
Bristlefront,66.2,
Slaty-Antshrike,66.2,
Spiderhunter,66.2,
Bushchat,66.3,
Barbet,66.4,
Erpornis,66.4,
Ground-Sparrow,66.5,
Junco,66.8,
Brushfinch,67.1,
Akikiki,67.2,
Bluebill,67.2,
Flufftail,67.2,
Lorikeet,67.2,
Minivet,67.2,
Penguin,67.2,
Lark,67.4,
Bullfinch,67.5,
Bristlebird,67.6,
Jacamar,67.8,
Jacobin,67.8,
Robin-Chat,67.8,
Sunbeam,67.8,
Bush-Robin,67.9,
Blackthroat,68,
Pardusco,68,
Pied-Fantail,68,
Puffback,68,
Black-eye,68.1,
Rockrunner,68.1,
Fernbird,68.2,
Leiothrix,68.2,
Elepaio,68.5,
Sicklebill,68.5,
Thrush-Babbler,68.5,
Streamcreeper,68.6,
Yellowbrow,68.6,
Woodcreeper,68.7,
Nukupuu,69,
Pilotbird,69,
Rosefinch,69,
Dunnock,69.1,
Treehunter,69.1,
Bulbul,69.2,
Ploughbill,69.4,
Orangequit,69.5,
Illadopsis,69.7,
Quail,69.7,
Paradise-Flycatcher,70,
Shrike-Vireo,70.1,
Leafbird,70.2,
Whitehead,70.4,
Shama,70.6,
Starfrontlet,70.7,
Rubythroat,70.8,
Firethroat,71,
Widowbird,71,
Inca,71.4,
Motmot,71.4,
Apapane,71.7,
Grosbeak,71.7,
Magpie-Robin,71.7,
Treerunner,71.7,
Bushlark,72,
Cactus-Finch,72.2,
Negrito,72.3,
Linnet,72.4,
Forktail,72.5,
Tchagra,72.6,
Woodpecker,72.6,
Brushrunner,72.8,
Coronet,72.8,
Bluethroat,73.1,
Ovenbird,73.2,
Whistler,73.2,
Akiapolaau,73.4,
Chatterer,73.4,
Crake,73.4,
